original_text,reference_summary
welcome feedback comment suggestion improvement service feedback . submit feedback reaching u facebook twitter google . grant u nonexclusive worldwide perpetual irrevocable fully paid royalty free sublicensable transferable license intellectual property right control use copy modify create derivative work based upon otherwise exploit feedback purpose . ,give u feedback whatever want . 
service app may contain link third party website resource . provide link convenience responsible content product service available website resource link displayed website . acknowledge sole responsibility assume risk arising use third party website resource . ,might link people website responsible . 
may terminate access use service sole discretion time without notice . may cancel account time accessing pokémon go help center available http pokemongo nianticlabs com support delete en . upon termination discontinuation cancellation service account following provision term survive arbitration notice content ownership right granted effect termination trading item virtual money virtual good feedback disclaimer warranty indemnity limitation liability dispute resolution general term sentence termination . ,terminate account access service time reason . 
use app service risk . extent permitted applicable law service content provided without warranty kind . without limiting foregoing niantic tpc tpci explicitly disclaim warranty merchantability fitness particular purpose quiet enjoyment non infringement warranty arising course dealing usage trade . niantic tpc tpci make warranty service meet requirement available uninterrupted secure error free basis make warranty regarding quality accuracy timeliness truthfulness completeness reliability content . assume risk relating online offline communication interaction user service person communicated interact result use service . understand niantic tpc tpci screen inquire background user service . niantic tpc tpci make representation warranty conduct user service . agree take reasonable precaution communication interaction user service person communicate interact result use service particularly decide meet offline person . ,lot yelling . oh responsible use service . 
indemnify hold harmless niantic tpc tpci respective officer director employee agent claim dispute demand liability damage loss cost expense including without limitation reasonable legal accounting fee arising way connected access use service content b user content c violation term . ,hold u accountable pay lawsuit . 
extent permitted applicable law neither niantic tpc tpci party involved creating producing delivering service content liable indirect incidental special punitive exemplary consequential damage including lost profit loss data goodwill service interruption computer damage system failure cost substitute service arising connection term use inability use service content communication interaction meeting user service person communicate interact result use service whether based warranty contract tort including negligence product liability legal theory whether niantic tpc tpci advised possibility damage even limited remedy set forth herein found failed essential purpose . jurisdiction allow exclusion limitation liability consequential incidental damage foregoing limitation liability shall apply fullest extent permitted law applicable jurisdiction event total liability niantic tpc tpci arising connection term use inability use service content exceed one thousand dollar 1 000. exclusion limitation damage set forth fundamental element basis bargain niantic . ,much law permit fault people lose money data . fault owe 1000 . 
governing lawthese term action related thereto governed law state california without regard conflict law provision . agreement arbitrateyou niantic agree dispute claim controversy arising relating term breach termination enforcement interpretation validity thereof use service content collectively dispute settled binding arbitration except party retains right bring individual action small claim court b seek injunctive equitable relief court competent jurisdiction prevent actual threatened infringement misappropriation violation party copyright trademark trade secret patent intellectual property right action described clause b ip protection action . without limiting preceding sentence also right litigate dispute provide niantic written notice desire email regular mail termsofservice nianticlabs com 2 bryant st ste . 220 san francisco ca 94105 within thirty 30 day following date first accept term notice arbitration opt notice . provide niantic arbitration opt notice within thirty 30 day period deemed knowingly intentionally waived right litigate dispute except expressly set forth clause b . exclusive jurisdiction venue ip protection action timely provide niantic arbitration opt notice state federal court located northern district california party hereto waif objection jurisdiction venue court . unless timely provide niantic arbitration opt notice acknowledge agree niantic waiving right trial jury participate plaintiff class member purported class action representative proceeding . unless niantic otherwise agree writing arbitrator may consolidate one person claim may otherwise preside form class representative proceeding . specific paragraph held unenforceable entirety dispute resolution section deemed void . except provided preceding sentence dispute resolution section survive termination term . arbitration rulesthe arbitration administered american arbitration association aaa accordance commercial arbitration rule supplementary procedure consumer related dispute aaa rule effect except modified dispute resolution section . aaa rule available www adr org arb_med calling aaa 1 800 778 7879. federal arbitration act govern interpretation enforcement section . arbitration processa party desire initiate arbitration must provide party written demand arbitration specified aaa rule . aaa provides general demand arbitration arbitrator either retired judge attorney licensed practice law selected party aaa roster arbitrator . party unable agree upon arbitrator within seven 7 day delivery demand arbitration aaa appoint arbitrator accordance aaa rule . arbitration location procedureunless niantic otherwise agree arbitration conducted county reside . claim exceed 10 000 arbitration conducted solely basis document niantic submit arbitrator unless request hearing arbitrator determines hearing necessary . claim exceeds 10 000 right hearing determined aaa rule . subject aaa rule arbitrator discretion direct reasonable exchange information party consistent expedited nature arbitration . arbitrator decisionthe arbitrator render award within time frame specified aaa rule . arbitrator decision include essential finding conclusion upon arbitrator based award . judgment arbitration award may entered court jurisdiction thereof . arbitrator award damage must consistent term limitation liability section type amount damage party may held liable . arbitrator may award declaratory injunctive relief favor claimant extent necessary provide relief warranted claimant individual claim . prevail arbitration entitled award attorney fee expense extent provided applicable law . niantic seek hereby waif right may applicable law recover attorney fee expense prevails arbitration . feesour responsibility pay aaa filing administrative arbitrator fee solely set forth aaa rule . however claim damage exceed 75 000 niantic pay fee unless arbitrator find either substance claim relief sought demand arbitration frivolous brought improper purpose measured standard set forth federal rule civil procedure 11 b changesnotwithstanding provision change term service section niantic change dispute resolution section date first accepted term accepted subsequent change term may reject change sending u written notice including email termsofservice nianticlabs com within 30 day date change became effective indicated last updated date date niantic email notifying change . rejecting change agreeing arbitrate dispute niantic accordance provision dispute resolution section date first accepted term accepted subsequent change term . ,issue term agree use independent party settle u instead suing u . really serious write u advance sue u . 
term action related thereto governed law state california without regard conflict law provision . term constitute entire exclusive understanding agreement niantic regarding service content term supersede replace prior oral written understanding agreement niantic regarding service content . provision term held invalid unenforceable either arbitrator appointed pursuant term dispute resolution section court competent jurisdiction timely opt arbitration sending u arbitration opt notice accordance term set forth provision enforced maximum extent permissible provision term remain full force effect . may assign transfer term operation law otherwise without niantic prior written consent . attempt assign transfer term without consent null . niantic may freely assign transfer term without restriction . subject foregoing term bind inure benefit party successor permitted assigns . notice communication provided niantic term including regarding modification term given via email b posting service . notice made email date receipt deemed date notice transmitted . niantic failure enforce right provision term considered waiver right provision . waiver right provision effective writing signed duly authorized representative niantic . except expressly set forth term exercise either party remedy term without prejudice remedy term otherwise . ,california governs term . let know make change term might forget enforce sometimes . 
question term service please contact niantic termsofservice nianticlabs com 2 bryant ste . 220 san francisco ca 94105 . ,termsofservice nianticlabs com . 
tldr permit access site subject term condition . please read term carefully . using site agree bound term condition agreement fossa inc delaware limited liability company tldr . need take action accept term must accept term wish exercise right granted herein access use site shall deemed assent term . agree term entitled use site . agreeing term behalf company legal entity represent authority bind entity affiliate user access site term case term shall refer entity affiliate user associated . authority agree term may use site . site provided tldr including limited located http tldrlegal com collectively together sub domain thereof information content service defined herein site site may include limited information created tldr offered tldr data collected public source content contributed third party user site . unless otherwise agreed writing tldr use site subject minimum term condition set forth herein . referred master term . addition use site content information service defined may also subject term legal notice applicable addition master term . term supplementing master term referred additional term . master term together additional term form binding legal agreement tldr . master term additional term applicable hereinafter collectively referred term tldr reserve right change term without notice . current version term reviewed clicking link link located site . please check term periodically see whether changed . use site post revised term accept change . ,using tldrlegal agree term . revise term . 
conditioned upon compliance term tldr grant limited personal nontransferable non sublicensable revocable license 1. access use site manner presented tldr 2. access use tldr computer network service offered within site tldr system manner expressly permitted tldr . except limited license tldr convey interest tldr system information data available via tldr system information content service website tldr property permitting access website . except extent required law expressly provided herein none content information may reverse engineered modified reproduced republished translated language computer language transmitted form mean resold redistributed without prior written consent tldr . may make sell offer sale modify reproduce display publicly perform import distribute retransmit otherwise use content way unless expressly permitted tldr e. expressly set forth term may copy modify publish transmit upload participate transfer sale reproduce create derivative work distribute perform display content site whole part without written permission tldr f. tldr intend site used anyone age 13. certify age majority jurisdiction 13 year old using site express consent parent legal guardian . agree post contribute personal information name address telephone number email address person age 13 site . g may time site available tldr reserve right interrupt discontinue modify limit suspend site storage availability content reason including material contributed . agree tldr liable change site content . h may access site automated mechanism including limited automated visit site automated query automated edits action programmatic access . content offered site property tldr third party protected copyright law including protection collective work compilation copyright law united state country . trademark tl dr llc trade tldrlegal trade tldr logo proprietary trademark service mark trade name tldr affiliate registered trademark trademark tldr . third party trademark remain property respective owner . distinctive brand feature site including limited domain name design organization artwork logo image trade dress property tldr agreement give right copy use feature site . download executable software site software material accompanying software software licensed tldr term associated end user license agreement . tldr transfer title software . tldr third party licensors retain full complete title software intellectual property right embodied . may redistribute sell decompile reverse engineer disassemble software . k content explicitly licensed tldr creative common attribution 3 0 license cc shall governed license unless otherwise marked . text cc license found http creativecommons org license 3 0 legalcode hereby incorporated term reference agree follow attribution requirement cc license applicable . tldr hereby designates tldr sole attribution party section 4 b cc license content . ensure use content includes visual display otherwise indicates source content originating site supplying content . indication may unobtrusive text string use logo name site unobtrusive clear visual indication . include near part internet use content hyperlink location within site present content . content may offered site term copyright license accompanying content . case may use content term license responsible use . agree abide license obligation restriction content access site . case site automatically collect data material third party site service . tldr may choose screen collected data . agree assume risk using content including limited risk arising source ownership accuracy completeness timeliness suitability intended purpose reliability . acknowledge tldr endorse content tldr guarantee content infringe right third party . circumstance tldr liable content including limited liability infringement error omission loss damage kind use content posted downloaded linked accessed otherwise made available site . l site may link material hosted third party independent site service internet . tldr responsible liable material tldr endorse sponsor . tldr reviewed material third party site make warranty representation material information product service offered third party . ,revoke service time . must ask u get permission using accessing data way clearly intended website . e g. scraping reselling reverse engineering copying redistributing data . 
c may use site personal use . permitted use content must include copyright notice originally included content copy display representation content form medium technology known later developed . represent company organization legal entity may use site internal business purpose . tldr welcome editorial use site content . journalist blogger commentator etc . may use content course writing editorial material . create editorial material using site content must follow applicable attribution requirement k content explicitly licensed tldr creative common attribution 3 0 license cc shall governed license unless otherwise marked . text cc license found http creativecommons org license 3 0 legalcode hereby incorporated term reference agree follow attribution requirement cc license applicable . tldr hereby designates tldr sole attribution party section 4 b cc license content . ensure use content includes visual display otherwise indicates source content originating site supplying content . indication may unobtrusive text string use logo name site unobtrusive clear visual indication . include near part internet use content hyperlink location within site present content . content may offered site term copyright license accompanying content . case may use content term license responsible use . agree abide license obligation restriction content access site . case site automatically collect data material third party site service . tldr may choose screen collected data . agree assume risk using content including limited risk arising source ownership accuracy completeness timeliness suitability intended purpose reliability . acknowledge tldr endorse content tldr guarantee content infringe right third party . circumstance tldr liable content including limited liability infringement error omission loss damage kind use content posted downloaded linked accessed otherwise made available site . ,may use tldr personal use internal business purpose . source information must include copyright notice give credit e. linkback . content licensed creative common attribution 3 0 cc . 
agree use site 1. try gain unauthorized access portion site system network connected tldr server content offered site circumventing site access control measure either hacking password mining mean 2. take action imposes unreasonable disproportionately large load infrastructure site tldr system network system network connected site tldr 3. post illegal material use site illegal activity 4. post use site distribute junk mail spam chain letter pyramid scheme phishing unsolicited advertising promotion material without significant value community designed drive traffic mask source deceive authorship distribute virus trojan malware whose purpose affiliate marketing 5. remove circumvent disable damage otherwise interfere feature site implement security usage limitation including part site robot txt api limitation mechanism 6. use mean damage deny use restrict others use site 7. post deceptive inaccurate material intended affect site analysis search algorithm game reputation scoring system part site engage activity website automatically accessed site part site normal operation intended solely affect site analysis 8. post libelous defamatory material intimidate harass others 9. engage identity theft infringe upon privacy others including phishing posting others personally identifying information possession attempting use another user account 10. falsify identity misrepresent affiliation another person entity 11. post transmit software exploit computer virus trojan software intended interrupt disrupt damage destroy limit function access computer software hardware telecommunication equipment otherwise interfere disrupt site internet post transmit material harmful threatening offensive hateful discriminatory obscene contrary applicable law regulation incites illegal act . usage site content violation term fraudulent illegal activity may result immediate suspension termination registered user account blocking access site without notice . without express written consent tldr may may authorize another party 1 frame utilize framing technique enclose portion aspect site content information 2 scrape actively dynamically use information data site 3. co brand site 4. link content information site another website 5. use content information site manner could cause impression third party tldr permitted use 6. use site content information material may constitute confused tldr design design element user interface copyright protectable work element 7 disguise origin information transmitted site . ,illegal shady stuff tldrlegal usage site brand way intended . 
condition using feature site tldr may require register account create user profile select user name password . agree provide tldr accurate complete identity information including email address agree update identity information promptly change . agree impersonate another person falsify identity use another user account otherwise take action gain access content right access use site way authorization . solely responsible activity take place authorization account . hereby release tldr liability arising activity . responsible maintaining security password . agree promptly inform tldr know suspect account password security breached . c tldr expressly disclaims liability arising revocation cancellation suspension account reason . account registration terminate immediately upon breach term . may terminate account participation registered user time without notice . tldr respect right privacy . tldr use personally identifying information collected site accordance tldr privacy policy located www tldrlegal com privacy . server certain personally identifiable information collected may located united state jurisdiction tldr may determine . ,responsible action tldr . terminate account breach term . 
site may offer opportunity contribute content contribution s. order make contribution site must registered account . owner contribution retains copyright right content . make contribution must right contribute contribution cc either ownership copyright contribution public domain license grant right consistent term . contribution protected copyright unless licensed cc license grant right contribute cc must provide contribution tldr . warrant represent assert right provide contribution contribution violates infringes right third party including copyright trademark privacy publicity personal proprietary right contribution constitute confidential trade secret information defamatory libelous unlawful . otherwise license copyrighted contribution way like . provide contribution site explicitly granting tldr license cc without regard license apply contribution . understand agree site content collective work compilation copyright law united state country site content constitute joint work copyright law . assert attempt assert right site content whole contribution . c hereby designate tldr contributor sole attribution party section 4 b cc license attribute contribution part collective content site . designation release tldr obligation specifically attribute contribution . understand cc license provide contribution allows tldr licensors use contribution purpose . e agree source code contribution project hosted site contributed subject posted license project . acknowledge responsible including copyright notice license contribution . fail include notice license assume risk failing including possible loss right contribution . f tldr may obligated review contribution . tldr may refuse accept delete contribution sole discretion tldr determines violate term illegal objectionable violate right threaten safety others deems fulfill purpose site reason . tldr may sole discretion terminate suspend registered account contribution violates term . acceptance contribution constitute endorsement sponsorship contribution tldr g. hereby grant tldr royalty free perpetual irrevocable worldwide non exclusive fully sub licensable right license intellectual property right term cc license reproduce modify adapt publish translate create derivative work distribute perform display use contribution whole part incorporate work form medium technology known later developed purpose providing site even event subsequently deleted contribution . agree alone responsible creating backup copy contribution . h delete contribution cc license provided contribution remain full force . delete contribution tldr warrant able take responsibility removing deleted contribution website including limited outside reasonable control including email archive wikis project web site community site others computer including others may forwarded contribution . ,must content contribute release cc term tldrlegal attribution party . simplicity people link back allow mention tldrlegal explicitly . tldr allowed publish adapt content . 
fullest extent permitted applicable law tldr offer site information content service make representation warranty kind concerning site information content service express implied statutory otherwise including without limitation warranty title merchantibility fitness particular purpose noninfringement . tldr warrant site information content service uninterrupted error free defect corrected tldr server free virus harmful component . tldr warrant make representation regarding use result use site information content service term accuracy reliability otherwise vii . limitation liability a. except extent required applicable law extent event tldr employee attorney manager officer director affiliate agent tldr party liable legal theory incidental direct indirect punitive actual consequential special exemplary damage including without limitation loss revenue income lost profit pain suffering emotional distress cost substitute good service damage suffered incurred third party arise connection site information content service termination thereof reason even tldr party advised possibility damage b. tldr party shall responsible liable whatsoever manner information content site service posted site including claim copyright patent trademark tradesecret infringement infringement property right relating content posted site provided service use site service conduct third party whether site connection site service otherwise relating site service c. tldr law firm provide legal advice . using site service including sending u email asking legal service otherwise create attorney client relationship . particular without limitation use tldr site service content information including without limitation tool summary license using license attribution generator result license comparison information material constitute legal advice create attorney client relationship . advised consult legal counsel using . agree tldr absolutely liability connection site content including without limitation liability damage computer hardware data information business resulting content available site . without limiting generality foregoing tldr liability 1. loss injury caused whole part action omission negligence including limited procuring compiling delivering site content 2. error omission inaccuracy content offered site regardless caused delay interruption delivery content 3. decision made action taken taken reliance upon content information material offered site . e tldr make warranty representation guarantee sequence accuracy timeliness completeness content content may relied upon reason . tldr make warranty representation guarantee content uninterrupted error free defect corrected . f tldr reserve right following time without notice modify suspend terminate operation access site portion site reason . viii . indemnityyou agree defend indemnify hold harmless tldr party liability including limited loss expense damage cost reasonable attorney fee resulting connection whether directly indirectly use site service content information violation term . also agree defend indemnify hold harmless tldr party claim brought third party arising use site contribution make available via site mean including without limitation posting link otherwise . tldr party may participate defense settlement expense counsel choosing . shall settle claim action without tldr party prior written consent . ,law firm liable content site offer warranty . 
minecraft end user licence agreementin order protect minecraft game member community need end user licence term set rule downloading using game . like rule tried keep short possible . break rule may stop using game . think necessary might even ask lawyer get touch . buy download use play game agreeing stick rule end user licence term eula . want agree rule must buy download use play game . eula incorporates term use mojang com website account term brand asset usage guideline privacy policy . agreeing eula also agree part three document please read carefully . ,using minecraft agree end user licence agreement . break rule might keep playing minecraft . 
one major rulethe one major rule must distribute anything made . distribute anything made mean give copy game away make commercial use try make money let people get access game part way unfair unreasonable . one major rule unless specifically agree brand asset usage guideline must give copy game anyone else make commercial use anything made try make money anything made orlet people get access anything made way unfair unreasonable crystal clear made includes limited client server software game . also includes modified version game part anything else made . otherwise quite relaxed fact really encourage cool stuff thing say . ,may give copy game anyone else try make money anything made . 
using gameyou bought game use computer . also give limited right thing draw line somewhere else people go far . wish make something pertaining anything made humbled please make sure interpreted official complies eula brand asset usage guideline make commercial use anything made . permission give use play game revoked break term eula buy game give permission install game personal computer use play computer set eula . permission personal allowed distribute game part anyone else . also mean sell rent game make available access people pas resell licence key . may however give gift code bought official gift code system . important help u stop piracy fraud protect game . also important prevent member community buying pirated version game fraudulent licence key may cancel case fraud . ,may use game computer may give gift code . 
bought game may play around modify . appreciate use griefing though remember distribute changed version software . basically mod plugins tool cool distribute hacked version game client server distribute . ,may mod game distribute hacked client . 
tool write game scratch belong . modification game mod including pre run mod memory mod plugins game also belong whatever want long sell money try make money . final say constitutes tool mod plugin . ,mod make belong sell . 
contentif make content available game must give u permission use copy modify adapt content . permission must irrevocable must also let u permit people use copy modify adapt content . want give u permission make content available game . please think carefully make content available made public might even used people way like . ,make stuff available game give u permission use change grant others permission . 
going make something available game must offensive people illegal must honest must creation . type thing must make available using game include post include racist homophobic language post bullying trolling post might damage another person reputation post include porn advertising someone else creation image post impersonate moderator try trick exploit people . ,thing make available game must offensive people illegal . 
content make available game must also creation . must make content available using game infringes right anyone else . post content game get challenged threatened sued someone content infringes person right may hold responsible mean may pay u back damage suffer result . therefore really important make content available created content created anyone else . ,anything make available game must work . 
liability . get copy game provide . update upgrade also provided . mean making promise standard quality game game uninterrupted error free loss damage cause . promise provide game service reasonable skill care even accept may release game well complete may often bug price pay getting early . law country say disclaim liability death personal injury caused negligence computer get stab something done wrong take hit . ,game provided update upgrade promised . 
termination . want terminate eula breach term . terminate time uninstall game computer eula terminated . eula terminated longer allowed play game . paragraph ownership game liability general stuff continue apply even eula terminated . ,terminate eula uninstalling game . 
acceptance using visiting youtube website youtube product software data feed service provided youtube website collectively service signify agreement 1 term condition term service 2 google privacy policy found http www youtube com privacy incorporated herein reference 3 youtube community guideline found http www youtube com community_guidelines also incorporated herein reference . agree term google privacy policy community guideline please use service . although may attempt notify major change made term service periodically review date version http www youtube com term . youtube may sole discretion modify revise term service policy time agree bound modification revision . nothing term service shall deemed confer third party right benefit . ,also accept google privacy policy youtube community guideline . may change term time . 
